GENE,ENSGID,ENTREZ,Synonyms,GENE_description,HGNC,Chromosome,OMIM ID(supplied by OMIM)
SLC5A9,ENSG00000117834,200010,SGLT4,solute carrier family 5 member 9,HGNC:22146,1p33,
SLC66A1,ENSG00000040487,54896,"FLJ20320, LAAT-1, LAAT1",solute carrier family 66 member 1,HGNC:26001,1p36.13,614760
SLC66A1L,ENSG00000174899,152078,,solute carrier family 66 member 1 like,HGNC:25146,3q25.32,
SLC66A2,ENSG00000122490,80148,FLJ22378,solute carrier family 66 member 2,HGNC:26188,18q23,
SLC66A3,ENSG00000162976,130814,MGC33602,solute carrier family 66 member 3,HGNC:28503,2p25.1,
SLC6A1,ENSG00000157103,6529,"GAT1, GABATR, GABATHG",solute carrier family 6 member 1,HGNC:11042,3p25.3,137165
SLC6A11,ENSG00000132164,6538,GAT3,solute carrier family 6 member 11,HGNC:11044,3p25.3,607952
SLC6A12,ENSG00000111181,6539,BGT-1,solute carrier family 6 member 12,HGNC:11045,12p13.33,603080
SLC6A13,ENSG00000010379,6540,GAT2,solute carrier family 6 member 13,HGNC:11046,12p13.33,615097
SLC6A14,ENSG00000268104,11254,,solute carrier family 6 member 14,HGNC:11047,Xq23,300444
SLC6A15,ENSG00000072041,55117,"hv7-3, NTT73, FLJ10316, V7-3, SBAT1",solute carrier family 6 member 15,HGNC:13621,12q21.31,607971
SLC6A16,ENSG00000063127,28968,NTT5,solute carrier family 6 member 16,HGNC:13622,19q13.33,607972
SLC6A17,ENSG00000197106,388662,,solute carrier family 6 member 17,HGNC:31399,1p13.3,610299
SLC6A18,ENSG00000164363,348932,"FLJ31236, Xtrp2",solute carrier family 6 member 18,HGNC:26441,5p15.33,610300
SLC6A19,ENSG00000174358,340024,,solute carrier family 6 member 19,HGNC:27960,5p15.33,608893
SLC6A2,ENSG00000103546,6530,NET,solute carrier family 6 member 2,HGNC:11048,16q12.2,163970
SLC6A20,ENSG00000163817,54716,"XT3, Xtrp3",solute carrier family 6 member 20,HGNC:30927,3p21.31,605616
SLC6A3,ENSG00000142319,6531,DAT,solute carrier family 6 member 3,HGNC:11049,5p15.33,126455
SLC6A4,ENSG00000108576,6532,"5-HTT, SERT1",solute carrier family 6 member 4,HGNC:11050,17q11.2,182138
SLC6A5,ENSG00000165970,9152,GLYT2,solute carrier family 6 member 5,HGNC:11051,11p15.1,604159
SLC6A6,ENSG00000131389,6533,TAUT,solute carrier family 6 member 6,HGNC:11052,3p25.1,186854
SLC6A7,ENSG00000011083,6534,PROT,solute carrier family 6 member 7,HGNC:11054,5q32,606205
SLC6A8,ENSG00000130821,6535,"CRTR, CT1",solute carrier family 6 member 8,HGNC:11055,Xq28,300036
SLC6A9,ENSG00000196517,6536,GLYT1,solute carrier family 6 member 9,HGNC:11056,1p34.1,601019
SLC7A1,ENSG00000139514,6541,"CAT-1, HCAT1, REC1L",solute carrier family 7 member 1,HGNC:11057,13q12.3,104615
SLC7A10,ENSG00000130876,56301,asc-1,solute carrier family 7 member 10,HGNC:11058,19q13.11,607959
SLC7A11,ENSG00000151012,23657,xCT,solute carrier family 7 member 11,HGNC:11059,4q28.3,607933
SLC7A13,ENSG00000164893,157724,"AGT-1, XAT2",solute carrier family 7 member 13,HGNC:23092,8q21.3,617256
SLC7A14,ENSG00000013293,57709,"KIAA1613, PPP1R142",solute carrier family 7 member 14,HGNC:29326,3q26.2,615720
SLC7A2,ENSG00000003989,6542,"CAT-2, HCAT2",solute carrier family 7 member 2,HGNC:11060,8p22,601872
SLC7A3,ENSG00000165349,84889,"CAT-3, ATRC3, FLJ14541",solute carrier family 7 member 3,HGNC:11061,Xq13.1,300443
SLC7A4,ENSG00000099960,6545,"HCAT3, CAT-4, VH",solute carrier family 7 member 4,HGNC:11062,22q11.21,603752
SLC7A5,ENSG00000103257,8140,"LAT1, E16, D16S469E, MPE16, CD98",solute carrier family 7 member 5,HGNC:11063,16q24.2,600182
SLC7A6,ENSG00000103064,9057,"y+LAT-2, KIAA0245, LAT3, LAT-2",solute carrier family 7 member 6,HGNC:11064,16q22.1,605641
SLC7A6OS,ENSG00000103061,84138,"FLJ13291, Iwr1",solute carrier family 7 member 6 opposite strand,HGNC:25807,16q22.1,
SLC7A7,ENSG00000155465,9056,y+LAT-1,solute carrier family 7 member 7,HGNC:11065,14q11.2,603593
SLC7A8,ENSG00000092068,23428,"LPI-PC1, LAT2",solute carrier family 7 member 8,HGNC:11066,14q11.2,604235
SLC7A9,ENSG00000021488,11136,,solute carrier family 7 member 9,HGNC:11067,19q13.11,604144
SLC8A1,ENSG00000183023,6546,,solute carrier family 8 member A1,HGNC:11068,2p22.1,182305
SLC8A2,ENSG00000118160,6543,"NCX2, KIAA1087",solute carrier family 8 member A2,HGNC:11069,19q13.32,601901
SLC8A3,ENSG00000100678,6547,NCX3,solute carrier family 8 member A3,HGNC:11070,14q24.2,607991
SLC8B1,ENSG00000089060,80024,"FLJ22233, NCKX6, NCLX",solute carrier family 8 member B1,HGNC:26175,12q24.13,609841
SLC9A1,ENSG00000090020,6548,PPP1R143,solute carrier family 9 member A1,HGNC:11071,1p36.11,107310
SLC9A2,ENSG00000115616,6549,,solute carrier family 9 member A2,HGNC:11072,2q12.1,600530
SLC9A3,ENSG00000066230,6550,,solute carrier family 9 member A3,HGNC:11073,5p15.33,182307
SLC9A3R1,ENSG00000109062,9368,"NHERF, EBP50, NHERF1",SLC9A3 regulator 1,HGNC:11075,17q25.1,604990
SLC9A3R2,ENSG00000065054,9351,"SIP-1, TKA-1, NHERF-2, E3KARP",SLC9A3 regulator 2,HGNC:11076,16p13.3,606553
SLC9A4,ENSG00000180251,389015,NHE4,solute carrier family 9 member A4,HGNC:11077,2q12.1,600531
SLC9A5,ENSG00000135740,6553,NHE5,solute carrier family 9 member A5,HGNC:11078,16q22.1,600477
SLC9A6,ENSG00000198689,10479,"NHE6, KIAA0267",solute carrier family 9 member A6,HGNC:11079,Xq26.3,300231
SLC9A7,ENSG00000065923,84679,NHE7,solute carrier family 9 member A7,HGNC:17123,Xp11.3,300368
SLC9A8,ENSG00000197818,23315,"KIAA0939, NHE8",solute carrier family 9 member A8,HGNC:20728,20q13.13,612730
SLC9A9,ENSG00000181804,285195,"FLJ35613, NHE9",solute carrier family 9 member A9,HGNC:20653,3q24,608396
SLC9B1,ENSG00000164037,150159,NHA1,solute carrier family 9 member B1,HGNC:24244,4q24,611527
SLC9B2,ENSG00000164038,133308,"FLJ23984, NHA2",solute carrier family 9 member B2,HGNC:25143,4q24,611789
SLC9C1,ENSG00000172139,285335,NHE,solute carrier family 9 member C1,HGNC:31401,3q13.2,612738
SLC9C2,ENSG00000162753,284525,MGC43026,solute carrier family 9 member C2 (putative),HGNC:28664,1q25.1,
SLCO1A2,ENSG00000084453,6579,"OATP, OATP1A2, OATP-A",solute carrier organic anion transporter family member 1A2,HGNC:10956,12p12.1,602883
SLCO1B1,ENSG00000134538,10599,"OATP-C, LST-1, OATP1B1",solute carrier organic anion transporter family member 1B1,HGNC:10959,12p12.1,604843
SLCO1B3,ENSG00000111700,28234,"OATP8, OATP1B3",solute carrier organic anion transporter family member 1B3,HGNC:10961,12p12.2,605495
SLCO1B7,ENSG00000205754,338821,"LST3, SLC21A21",solute carrier organic anion transporter family member 1B7 (putative),HGNC:32934,12p12.2,
SLCO1C1,ENSG00000139155,53919,"OATP-F, OATP1C1, OATP1",solute carrier organic anion transporter family member 1C1,HGNC:13819,12p12.2,613389
SLCO2A1,ENSG00000174640,6578,"PGT, OATP2A1",solute carrier organic anion transporter family member 2A1,HGNC:10955,3q22.1-q22.2,601460
SLCO2B1,nan,11309,"OATP-B, OATP2B1",solute carrier organic anion transporter family member 2B1,HGNC:10962,11q13,604988
SLCO3A1,ENSG00000176463,28232,"OATP-D, OATP3A1",solute carrier organic anion transporter family member 3A1,HGNC:10952,15q26.1,612435
SLCO4A1,ENSG00000101187,28231,"OATP-E, OATP4A1",solute carrier organic anion transporter family member 4A1,HGNC:10953,20q13.33,612436
SLCO4C1,ENSG00000173930,353189,"SLC21A20, OATP4C1, OATPX, OATP-H",solute carrier organic anion transporter family member 4C1,HGNC:23612,5q21.1,609013
SLCO5A1,ENSG00000137571,81796,"OATPRP4, OATP-J, OATP5A1",solute carrier organic anion transporter family member 5A1,HGNC:19046,8q13.3,613543
SLCO6A1,ENSG00000205359,133482,"OATP6A1, OATPY, MGC26949, CT48",solute carrier organic anion transporter family member 6A1,HGNC:23613,5q21.1,613365
SLF1,ENSG00000133302,84250,"DKFZp761C121, DKFZp564C0469, BRCTx",SMC5-SMC6 complex localization factor 1,HGNC:25408,5q15,
SLF2,ENSG00000119906,,"FLJ10512, FLJ25012",SMC5-SMC6 complex localization factor 2,HGNC:17814,10q24.31,610348
SLFN11,ENSG00000172716,91607,FLJ34922,schlafen family member 11,HGNC:26633,17q12,614953
SLFN12,ENSG00000172123,55106,FLJ10260,schlafen family member 12,HGNC:25500,17q12,614955
SLFN12L,nan,100506736,,schlafen family member 12 like,HGNC:33920,17q12,614956
SLFN13,nan,146857,FLJ31952,schlafen family member 13,HGNC:26481,17q12,614957
SLFN14,nan,342618,,schlafen family member 14,HGNC:32689,17q12,614958
SLFN5,nan,162394,MGC19764,schlafen family member 5,HGNC:28286,17q12,614952
SLFNL1,ENSG00000171790,200172,FLJ23878,schlafen like 1,HGNC:26313,1p34.2,
SLIRP,ENSG00000119705,81892,DC50,SRA stem-loop interacting RNA binding protein,HGNC:20495,14q24.3,610211
SLIT1,ENSG00000187122,6585,"slit1, MEGF4, Slit-1, SLIT3",slit guidance ligand 1,HGNC:11085,10q24.1,603742
SLIT2,ENSG00000145147,9353,Slit-2,slit guidance ligand 2,HGNC:11086,4p15.31,603746
SLIT3,ENSG00000184347,6586,"slit2, MEGF5, SLIT1, Slit-3",slit guidance ligand 3,HGNC:11087,5q34-q35.1,603745
SLITRK1,ENSG00000178235,114798,KIAA1910,SLIT and NTRK like family member 1,HGNC:20297,13q31.1,609678
SLITRK2,ENSG00000185985,84631,"KIAA1854, CXorf2",SLIT and NTRK like family member 2,HGNC:13449,Xq27.3,300561
SLITRK3,ENSG00000121871,22865,KIAA0848,SLIT and NTRK like family member 3,HGNC:23501,3q26.1,609679
SLITRK4,ENSG00000179542,139065,DKFZp547M2010,SLIT and NTRK like family member 4,HGNC:23502,Xq27.3,300562
SLITRK5,ENSG00000165300,26050,"bA364G4.2, KIAA0918",SLIT and NTRK like family member 5,HGNC:20295,13q31.2,609680
SLITRK6,ENSG00000184564,84189,FLJ22774,SLIT and NTRK like family member 6,HGNC:23503,13q31.1,609681
SLK,ENSG00000065613,9748,"STK2, se20-9, KIAA0204",STE20 like kinase,HGNC:11088,10q24.33-q25.1,616563
SLMAP,ENSG00000163681,7871,"SLAP, KIAA1601",sarcolemma associated protein,HGNC:16643,3p14.3,602701
SLN,ENSG00000170290,6588,"MGC12301, MGC125854, MGC125855",sarcolipin,HGNC:11089,11q22.3,602203
SLPI,ENSG00000124107,6590,"HUSI-I, ALK1, ALP, BLPI, HUSI, WAP4, WFDC4",secretory leukocyte peptidase inhibitor,HGNC:11092,20q13.12,107285
SLTM,ENSG00000137776,79811,"Met, FLJ13213",SAFB like transcription modulator,HGNC:20709,15q22.1,
SLU7,ENSG00000164609,10569,9G8,"SLU7 homolog, splicing factor",HGNC:16939,5q33.3,605974
SLURP1,ENSG00000126233,57152,"ARS, ANUP, MDM, ArsB, LY6LS, LY6-MT",secreted LY6/PLAUR domain containing 1,HGNC:18746,8q24.3,606119
SLURP2,ENSG00000283992,432355,,secreted LY6/PLAUR domain containing 2,HGNC:25549,8q24.3,
SLX1A,ENSG00000132207,548593,,"SLX1 homolog A, structure-specific endonuclease subunit",HGNC:20922,16p11.2,615822
SLX1B,ENSG00000181625,79008,MGC5178,"SLX1 homolog B, structure-specific endonuclease subunit",HGNC:28748,16p11.2,615823
SLX4,ENSG00000188827,84464,"KIAA1784, KIAA1987, FANCP",SLX4 structure-specific endonuclease subunit,HGNC:23845,16p13.3,613278
SLX4IP,ENSG00000149346,128710,dJ1099D15.3,SLX4 interacting protein,HGNC:16225,20p12.2,615958
SMAD1,ENSG00000170365,4086,"MADR1, JV4-1",SMAD family member 1,HGNC:6767,4q31.21,601595
SMAD2,ENSG00000175387,4087,"MADR2, JV18-1",SMAD family member 2,HGNC:6768,18q21.1,601366
SMAD3,ENSG00000166949,4088,"JV15-2, HsT17436",SMAD family member 3,HGNC:6769,15q22.33,603109
SMAD4,ENSG00000141646,4089,DPC4,SMAD family member 4,HGNC:6770,18q21.2,600993
SMAD5,ENSG00000113658,4090,"Dwfc, JV5-1",SMAD family member 5,HGNC:6771,5q31.1,603110
SMAD6,ENSG00000137834,4091,HsT17432,SMAD family member 6,HGNC:6772,15q22.31,602931
SMAD7,ENSG00000101665,4092,,SMAD family member 7,HGNC:6773,18q21.1,602932
SMAD9,ENSG00000120693,4093,"SMAD8, SMAD8/9",SMAD family member 9,HGNC:6774,13q13.3,603295
SMAGP,ENSG00000170545,57228,"MGC149453, MGC149454, hSMAGP",small cell adhesion glycoprotein,HGNC:26918,12q13.13,
SMAP1,ENSG00000112305,60682,"FLJ13159, SMAP-1",small ArfGAP 1,HGNC:19651,6q13,611372
SMAP2,ENSG00000084070,64744,,small ArfGAP2,HGNC:25082,1p34.2,616916
SMARCA1,ENSG00000102038,6594,"SNF2LB, NURF140, ISWI, SWI, hSNF2L","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1",HGNC:11097,Xq25-q26.1,300012
SMARCA2,ENSG00000080503,6595,"BAF190, hSNF2a, hBRM, Sth1p, SNF2LA, BRM, SNF2, SWI2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",HGNC:11098,9p24.3,600014
SMARCA4,ENSG00000127616,6597,"hSNF2b, BRG1, BAF190, SNF2, SWI2, SNF2-BETA, SNF2LB, FLJ39786","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",HGNC:11100,19p13.2,603254
SMARCA5,ENSG00000153147,8467,"hSNF2H, hISWI, ISWI","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",HGNC:11101,4q31.21,603375
SMARCAD1,ENSG00000163104,56916,"ETL1, DKFZP762K2015, KIAA1122, DKFZp762K2015","SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1",HGNC:18398,4q22.3,612761
SMARCAL1,ENSG00000138375,50485,"HHARP, HARP","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1",HGNC:11102,2q35,606622
SMARCB1,ENSG00000099956,6598,"BAF47, Ini1, Snr1, hSNFS, Sfh1p, RDT, PPP1R144, SNF5","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",HGNC:11103,22q11.23,601607
SMARCC1,ENSG00000173473,6599,"BAF155, SRG3, Rsc8, CRACC1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1",HGNC:11104,3p21.31,601732
SMARCC2,ENSG00000139613,6601,"BAF170, Rsc8, CRACC2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2",HGNC:11105,12q13.2,601734
SMARCD1,ENSG00000066117,6602,"BAF60A, Rsc6p, CRACD1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",HGNC:11106,12q13.12,601735
SMARCD2,ENSG00000108604,6603,"BAF60B, Rsc6p, CRACD2, PRO2451","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2",HGNC:11107,17q23.3,601736
SMARCD3,ENSG00000082014,6604,"BAF60C, Rsc6p, CRACD3","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",HGNC:11108,7q36.1,601737
SMARCE1,ENSG00000073584,6605,BAF57,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",HGNC:11109,17q21.2,603111
SMC1A,ENSG00000072501,8243,"DXS423E, KIAA0178, SB1.8, Smcb",structural maintenance of chromosomes 1A,HGNC:11111,Xp11.22,300040
SMC1B,ENSG00000077935,27127,bK268H5,structural maintenance of chromosomes 1B,HGNC:11112,22q13.31,608685
SMC2,ENSG00000136824,10592,"hCAP-E, CAP-E",structural maintenance of chromosomes 2,HGNC:14011,9q31.1,605576
SMC3,ENSG00000108055,9126,"HCAP, BAM, SMC3L1, bamacan",structural maintenance of chromosomes 3,HGNC:2468,10q25.2,606062
SMC4,ENSG00000113810,10051,"hCAP-C, CAP-C",structural maintenance of chromosomes 4,HGNC:14013,3q25.33,605575
SMC5,ENSG00000198887,23137,KIAA0594,structural maintenance of chromosomes 5,HGNC:20465,9q21.12,609386
SMC6,ENSG00000163029,79677,FLJ22116,structural maintenance of chromosomes 6,HGNC:20466,2p24.2,609387
SMCHD1,ENSG00000101596,23347,"KIAA0650, FSHD2",structural maintenance of chromosomes flexible hinge domain containing 1,HGNC:29090,18p11.32,614982
SMCO1,ENSG00000214097,255798,"FLJ41923, DKFZp313B0440",single-pass membrane protein with coiled-coil domains 1,HGNC:27407,3q29,
SMCO2,ENSG00000165935,341346,LOC341346,single-pass membrane protein with coiled-coil domains 2,HGNC:34448,12p11.23,
SMCO3,ENSG00000179256,440087,LOC440087,single-pass membrane protein with coiled-coil domains 3,HGNC:34401,12p12.3,
SMCO4,ENSG00000166002,56935,FN5,single-pass membrane protein with coiled-coil domains 4,HGNC:24810,11q21,609477
SMCP,ENSG00000163206,4184,,sperm mitochondria associated cysteine rich protein,HGNC:6962,1q21.3,601148
SMCR8,ENSG00000176994,140775,"FLJ34716, DENND8A",SMCR8-C9orf72 complex subunit,HGNC:17921,17p11.2,617074
SMDT1,ENSG00000183172,91689,"dJ186O1.1, DDDD, EMRE",single-pass membrane protein with aspartate rich tail 1,HGNC:25055,22q13.2,615588
SMG1,ENSG00000157106,23049,"LIP, KIAA0421, ATX",SMG1 nonsense mediated mRNA decay associated PI3K related kinase,HGNC:30045,16p12.3,607032
SMG5,ENSG00000198952,23381,"KIAA1089, LPTS-RP1, LPTSRP1, RP11-54H19.7, SMG-5, EST1B",SMG5 nonsense mediated mRNA decay factor,HGNC:24644,1q22,610962
SMG6,ENSG00000070366,23293,"KIAA0732, SMG-6, EST1A",SMG6 nonsense mediated mRNA decay factor,HGNC:17809,17p13.3,610963
SMG7,ENSG00000116698,9887,"KIAA0250, EST1C, SGA56M, SMG-7",SMG7 nonsense mediated mRNA decay factor,HGNC:16792,1q25.3,610964
SMG8,nan,55181,"FLJ10587, FLJ23205",SMG8 nonsense mediated mRNA decay factor,HGNC:25551,17q23.2,613175
SMG9,ENSG00000105771,56006,FLJ12886,SMG9 nonsense mediated mRNA decay factor,HGNC:25763,19q13.31,613176
SMIM1,ENSG00000235169,388588,Vel,small integral membrane protein 1 (Vel blood group),HGNC:44204,1p36.32,615242
SMIM10,ENSG00000184785,644538,,small integral membrane protein 10,HGNC:41913,Xq26.3,
SMIM10L1,ENSG00000256537,100129361,,small integral membrane protein 10 like 1,HGNC:49847,12p13.2,
SMIM10L2A,ENSG00000178947,399668,"MGC39606, LED, LINC0086",small integral membrane protein 10 like 2A,HGNC:34499,Xq26.3,
SMIM10L2B,ENSG00000196972,644596,RP11-85L21.2,small integral membrane protein 10 like 2B,HGNC:34500,Xq26.3,
SMIM11A,ENSG00000205670,54065,,small integral membrane protein 11A,HGNC:1293,21q22.11-q22.12,
SMIM11B,ENSG00000273590,,,small integral membrane protein 11B,HGNC:51846,21p11.2,
SMIM12,ENSG00000163866,113444,FLJ90372,small integral membrane protein 12,HGNC:25154,1p34.3,
SMIM13,ENSG00000224531,221710,,small integral membrane protein 13,HGNC:27356,6p24.2,
SMIM14,ENSG00000163683,201895,FLJ13289,small integral membrane protein 14,HGNC:27321,4p14,
SMIM15,ENSG00000188725,643155,DKFZP686E2158,small integral membrane protein 15,HGNC:33861,5q12.1,
SMIM17,ENSG00000268182,147670,,small integral membrane protein 17,HGNC:27114,19q13.43,
SMIM18,ENSG00000253457,100507341,,small integral membrane protein 18,HGNC:42973,8p12,
SMIM19,ENSG00000176209,114926,,small integral membrane protein 19,HGNC:25166,8p11.21,
SMIM2,ENSG00000139656,79024,MGC5590,small integral membrane protein 2,HGNC:28776,13q14.11,
SMIM20,ENSG00000250317,389203,"PNX, MITRAC7",small integral membrane protein 20,HGNC:37260,4p15.2,617465
SMIM21,ENSG00000206026,284274,,small integral membrane protein 21,HGNC:27598,18q23,
SMIM22,ENSG00000267795,440335,CASIMO1,small integral membrane protein 22,HGNC:48329,16p13.3,
SMIM23,ENSG00000185662,644994,LOC644994,small integral membrane protein 23,HGNC:34440,5q35.1,
SMIM24,ENSG00000095932,284422,HSPC323,small integral membrane protein 24,HGNC:37244,19p13.3,
SMIM26,ENSG00000232388,388789,LOC388789,small integral membrane protein 26,HGNC:43430,20p11.23,
SMIM27,ENSG00000235453,100129250,,small integral membrane protein 27,HGNC:31420,9p21.1,
SMIM28,ENSG00000262543,,,small integral membrane protein 28,HGNC:53434,6q24.1,
SMIM29,ENSG00000186577,221491,"LBH, MGC57858",small integral membrane protein 29,HGNC:1340,6p21.31,611419
SMIM3,ENSG00000256235,85027,"MSTP150, NID67",small integral membrane protein 3,HGNC:30248,5q33.1,608324
SMIM30,ENSG00000214194,401397,,small integral membrane protein 30,HGNC:48953,7q31.1,
SMIM31,ENSG00000248771,100505989,,small integral membrane protein 31,HGNC:49638,4q32.3,
SMIM32,ENSG00000271824,389332,,small integral membrane protein 32,HGNC:53640,5q31.1,
SMIM33,ENSG00000283288,,,small integral membrane protein 33,HGNC:53645,5q31.2,
SMIM34A,ENSG00000243627,388820,,small integral membrane protein 34A,HGNC:39601,21q22.12,
SMIM34B,ENSG00000278961,107983987,,small integral membrane protein 34B,HGNC:53650,21p11.2,
SMIM35,ENSG00000255274,100526771,,small integral membrane protein 35,HGNC:44179,11q23.3,
SMIM36,ENSG00000261873,,,small integral membrane protein 36,HGNC:53654,17q22,
SMIM38,ENSG00000284713,,,small integral membrane protein 38,HGNC:54074,11q13.3,
SMIM39,ENSG00000284479,,,small integral membrane protein 39,HGNC:54076,2q21.1,
SMIM4,ENSG00000168273,440957,,small integral membrane protein 4,HGNC:37257,3p21.1,
SMIM40,ENSG00000285064,,,small integral membrane protein 40,HGNC:54073,6p21.32,
SMIM41,ENSG00000284791,,,small integral membrane protein 41,HGNC:54075,12q13.13,
SMIM5,ENSG00000204323,643008,,small integral membrane protein 5,HGNC:40030,17q25.1,
SMIM6,ENSG00000259120,100130933,ELN,small integral membrane protein 6,HGNC:40032,17q25.1,
SMIM7,ENSG00000214046,79086,MGC2747,small integral membrane protein 7,HGNC:28419,19p13.11,
SMIM8,ENSG00000111850,57150,"DKFZP586E1923, dJ102H19.2",small integral membrane protein 8,HGNC:21401,6q15,
SMIM9,ENSG00000203870,100132963,,small integral membrane protein 9,HGNC:41915,Xq28,
SMKR1,ENSG00000240204,100287482,,small lysine rich protein 1,HGNC:43561,7q32.1,
SMLR1,ENSG00000256162,100507203,,small leucine rich protein 1,HGNC:44670,6q23.1,
SMN1,ENSG00000172062,6606,"BCD541, SMNT, SMA1, SMA2, SMA3, GEMIN1, TDRD16A","survival of motor neuron 1, telomeric",HGNC:11117,5q13.2,600354
SMN2,ENSG00000205571,6607,"BCD541, SMNC, GEMIN1, TDRD16B","survival of motor neuron 2, centromeric",HGNC:11118,5q13.2,601627
SMNDC1,ENSG00000119953,10285,"SPF30, SMNR, TDRD16C",survival motor neuron domain containing 1,HGNC:16900,10q25.2,603519
SMO,ENSG00000128602,6608,FZD11,"smoothened, frizzled class receptor",HGNC:11119,7q32.1,601500
SMOC1,ENSG00000198732,64093,,SPARC related modular calcium binding 1,HGNC:20318,14q24.1,608488
SMOC2,ENSG00000112562,64094,SMAP2,SPARC related modular calcium binding 2,HGNC:20323,6q27,607223
SMOX,ENSG00000088826,54498,"FLJ20746, dJ779E11.1, PAO, PAOh1, MGC1010, SMO",spermine oxidase,HGNC:15862,20p13,615854
SMPD1,ENSG00000166311,6609,ASM,sphingomyelin phosphodiesterase 1,HGNC:11120,11p15.4,607608
SMPD2,ENSG00000135587,6610,"nSMase, ISC1",sphingomyelin phosphodiesterase 2,HGNC:11121,6q21,603498
SMPD3,ENSG00000103056,55512,NSMASE2,sphingomyelin phosphodiesterase 3,HGNC:14240,16q22.1,605777
SMPD4,ENSG00000136699,55627,"FLJ20297, FLJ20756, nSMase-3, KIAA1418, NSMASE3, NET13",sphingomyelin phosphodiesterase 4,HGNC:32949,2q21.1,610457
SMPDL3A,ENSG00000172594,10924,"FLJ20177, ASM3A, ASML3a, yR36GH4.1",sphingomyelin phosphodiesterase acid like 3A,HGNC:17389,6q22.31,610728
SMPDL3B,ENSG00000130768,27293,ASML3B,sphingomyelin phosphodiesterase acid like 3B,HGNC:21416,1p35.3,617737
SMPX,ENSG00000091482,23676,"DFNX4, Chisel, Csl",small muscle protein X-linked,HGNC:11122,Xp22.12,300226
SMR3A,ENSG00000109208,26952,"PBI, PRL5",submaxillary gland androgen regulated protein 3A,HGNC:19216,4q13.3,
SMR3B,ENSG00000171201,10879,"P-B, PRL3",submaxillary gland androgen regulated protein 3B,HGNC:17326,4q13.3,611593
SMS,ENSG00000102172,6611,"SPMSY, SpS, MRSR",spermine synthase,HGNC:11123,Xp22.11,300105
SMTN,ENSG00000183963,6525,,smoothelin,HGNC:11126,22q12.2,602127
SMTNL1,nan,219537,CHASM,smoothelin like 1,HGNC:32394,11q12.1,613664
SMTNL2,ENSG00000188176,342527,FLJ42461,smoothelin like 2,HGNC:24764,17p13.2,
SMU1,ENSG00000122692,55234,"SMU-1, FLJ10805, BWD, fSAP57",SMU1 DNA replication regulator and spliceosomal factor,HGNC:18247,9p21.1,617811
SMUG1,ENSG00000123415,23583,"UNG3, FDG, HMUDG",single-strand-selective monofunctional uracil-DNA glycosylase 1,HGNC:17148,12q13.13,607753
SMURF1,ENSG00000198742,57154,KIAA1625,SMAD specific E3 ubiquitin protein ligase 1,HGNC:16807,7q22.1,605568
SMURF2,ENSG00000108854,64750,,SMAD specific E3 ubiquitin protein ligase 2,HGNC:16809,17q23.3-q24.1,605532
SMYD1,ENSG00000115593,150572,"BOP, ZMYND22, KMT3D",SET and MYND domain containing 1,HGNC:20986,2p11.2,606846
SMYD2,ENSG00000143499,56950,"HSKM-B, ZMYND14, KMT3C",SET and MYND domain containing 2,HGNC:20982,1q32.3,610663
SMYD3,ENSG00000185420,64754,KMT3E,SET and MYND domain containing 3,HGNC:15513,1q44,608783
SMYD4,ENSG00000186532,114826,"KIAA1936, ZMYND21",SET and MYND domain containing 4,HGNC:21067,17p13.3,
SMYD5,ENSG00000135632,10322,"RRG1, NN8-4AG, ZMYND23",SMYD family member 5,HGNC:16258,2p13.2,
SNAI1,ENSG00000124216,6615,"SNA, SLUGH2, SNAH, SNAIL1, SNAIL",snail family transcriptional repressor 1,HGNC:11128,20q13.13,604238
SNAI2,ENSG00000019549,6591,"SLUGH1, SNAIL2, SLUGH",snail family transcriptional repressor 2,HGNC:11094,8q11.21,602150
SNAI3,nan,333929,"SMUC, Zfp293",snail family transcriptional repressor 3,HGNC:18411,16q24.3,612741
SNAP23,ENSG00000092531,8773,"SNAP23A, SNAP23B, HsT17016",synaptosome associated protein 23,HGNC:11131,15q15.1-q15.2,602534
SNAP25,ENSG00000132639,6616,"SNAP-25, RIC-4, RIC4, SEC9, bA416N4.2, dJ1068F16.2",synaptosome associated protein 25,HGNC:11132,20p12.2,600322
SNAP29,ENSG00000099940,9342,"SNAP-29, CEDNIK",synaptosome associated protein 29,HGNC:11133,22q11.21,604202
